grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,d_model,n_heads,num_layers
1,1,1.2484968691619474,1.295345748172087,1.2834217443185694,37,47,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251217_101214/gs0001_fold1.pt,1.2797856330871582,2.6262054443359375,1.6205571401021124,0.6560273766517639,36.256557,SimpleTabTransformer,64,2,1
1,2,1.2666295170783997,1.2522104224737953,1.2382946627981521,31,41,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251217_101214/gs0001_fold2.pt,1.2440130710601807,2.4668686389923096,1.570626829960672,0.6606427431106567,34.14633,SimpleTabTransformer,64,2,1
1,3,1.2502774084681896,1.2450444417841293,1.2413456615279703,32,42,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251217_101214/gs0001_fold3.pt,1.2472131252288818,2.4703128337860107,1.5717228870847464,0.6607019305229187,35.862537,SimpleTabTransformer,64,2,1
1,4,1.2569913904168712,1.2878794915535872,1.2628704204278833,46,56,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251217_101214/gs0001_fold4.pt,1.2603344917297363,2.490525960922241,1.5781400321017909,0.6228055953979492,35.526493,SimpleTabTransformer,64,2,1
1,5,1.2568667028377305,1.244230915518368,1.2338339055285734,28,38,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251217_101214/gs0001_fold5.pt,1.2338882684707642,2.5008864402770996,1.5814191222686982,0.6591105461120605,37.235874,SimpleTabTransformer,64,2,1
2,1,1.2603250688581324,1.2968135861789478,1.2894664862576652,34,44,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251217_101214/gs0002_fold1.pt,1.2855935096740723,2.689335823059082,1.639919456271887,0.6477587223052979,37.270664,SimpleTabTransformer,64,2,2
2,2,1.2714939028469485,1.2563965951695162,1.2325510014505947,39,49,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251217_101214/gs0002_fold2.pt,1.2382127046585083,2.505782127380371,1.5829662432851723,0.6552895903587341,35.031693,SimpleTabTransformer,64,2,2
2,3,1.3618450814218663,1.2840940110823686,1.252616286277771,24,34,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251217_101214/gs0002_fold3.pt,1.2603321075439453,2.641005754470825,1.6251171509989135,0.6372572183609009,36.46249,SimpleTabTransformer,64,2,2
2,4,1.2724080428258697,1.288101497818442,1.2737493444891537,36,46,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251217_101214/gs0002_fold4.pt,1.2712539434432983,2.6238791942596436,1.6198392495120135,0.6026089787483215,35.53774,SimpleTabTransformer,64,2,2
2,5,1.26133277611946,1.231492107405382,1.2261508177308476,46,56,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251217_101214/gs0002_fold5.pt,1.226153016090393,2.5120739936828613,1.5849523632219553,0.657585620880127,37.00574,SimpleTabTransformer,64,2,2
