grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,n_d,n_a,n_steps
1,1,2.5684834296234427,1.322607398033142,1.2828216552734375,7,17,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0001_fold1,1.2828216552734375,2.562425374984741,1.6007577502497814,0.6643811464309692,35.859238,TabNetRegressor,8,8,3
1,2,2.5351360232227242,1.235274076461792,1.2336549758911133,10,20,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0001_fold2,1.2336549758911133,2.44870924949646,1.5648352148058466,0.6631408929824829,35.30517,TabNetRegressor,8,8,3
1,3,2.4694067503229653,1.242284893989563,1.2287240028381348,20,30,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0001_fold3,1.2287240028381348,2.385697364807129,1.5445702848388378,0.6723238825798035,34.017464,TabNetRegressor,8,8,3
1,4,2.4780377813901375,1.2550636529922485,1.238423228263855,24,34,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0001_fold4,1.238423228263855,2.45125412940979,1.565648149939759,0.6287533640861511,35.32253,TabNetRegressor,8,8,3
1,5,2.518774485108336,1.229067087173462,1.2198162078857422,6,16,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0001_fold5,1.2198162078857422,2.3422183990478516,1.530430788715338,0.6807382106781006,35.63326,TabNetRegressor,8,8,3
2,1,2.6306678410286057,1.3167436122894287,1.2858985662460327,16,26,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0002_fold1,1.2858985662460327,2.631645679473877,1.6222347793934997,0.6553148627281189,36.817673,TabNetRegressor,8,8,5
2,2,2.517985789834707,1.2445865869522095,1.239196538925171,10,20,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0002_fold2,1.239196538925171,2.394502639770508,1.547418055914596,0.6705978512763977,33.87132,TabNetRegressor,8,8,5
2,3,2.52108029146508,1.2464097738265991,1.2266509532928467,18,28,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0002_fold3,1.2266509532928467,2.396615982055664,1.5481007661181698,0.6708241701126099,33.450752,TabNetRegressor,8,8,5
2,4,2.4703021342397036,1.247759222984314,1.2423069477081299,13,23,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0002_fold4,1.2423069477081299,2.4069981575012207,1.551450340004868,0.6354559659957886,34.80706,TabNetRegressor,8,8,5
2,5,2.628419172445858,1.2450817823410034,1.2234175205230713,10,20,100,True,Adam,0.02,MAE,/home/xen/personal/hospital-stay-length/experiments/models/tabnet_20251217_103631/gs0002_fold5,1.2234175205230713,2.3845534324645996,1.5441999328016434,0.6749675869941711,35.486748,TabNetRegressor,8,8,5
