grid_search_id,final_train_loss,final_val_loss,best_val_loss,model_name,optimizer,learning_rate,loss_function,num_epochs,actual_epochs,stopped_early,mae,mse,rmse,r2,mape,hidden_features,dropout,activation,rank,model_path,fold
13,1.3365570079034834,1.3014758190687965,1.2838997826856726,SimpleMLP,Adam,0.001,L1Loss,100,63.2,5,1.2858491897583009,2.658690881729126,1.6301682341424357,0.6317074060440063,36.667393,256,0.2,ReLU,1,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_221732/gs0013_fold5.pt,5
14,1.3513637484009586,1.3110535733840045,1.2863354609293096,SimpleMLP,Adam,0.001,L1Loss,100,63.6,5,1.288016176223755,2.7006474494934083,1.6429921184342373,0.6257931113243103,36.670433,256,0.3,ReLU,2,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_221732/gs0014_fold5.pt,5
15,1.3607623758600718,1.307799115601708,1.2877195891212014,SimpleMLP,Adam,0.001,L1Loss,100,68.4,5,1.2901539564132691,2.704895544052124,1.6440013821957833,0.6251809120178222,36.57885,256,0.4,ReLU,3,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_221732/gs0015_fold5.pt,5
16,1.4756463984055306,1.4279979593613568,1.4105965021778555,SimpleMLP,Adam,0.001,L1Loss,100,79.6,4,1.4148319244384766,4.5048830032348635,2.120909011427662,0.37690067291259766,37.647594,256,0.2,Tanh,4,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_221732/gs0016_fold5.pt,5
11,1.5086563677707714,1.4328357840285582,1.4224943781600279,SimpleMLP,Adam,0.001,L1Loss,100,79.75,3,1.42852783203125,4.644633054733276,2.1538925362442365,0.34857185184955597,38.598305,128,0.3,Tanh,5,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_221732/gs0011_fold4.pt,4
17,1.5042062821672924,1.4538935289663428,1.439374680028242,SimpleMLP,Adam,0.001,L1Loss,100,70.2,5,1.4432896614074706,4.858192443847656,2.2015836717147597,0.328656280040741,38.138515,256,0.3,Tanh,6,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_221732/gs0017_fold5.pt,5
12,1.535676430588338,1.4523425936698913,1.4430443020427928,SimpleMLP,Adam,0.001,L1Loss,100,76.8,5,1.4464549779891969,4.944903564453125,2.222491809213852,0.31602786779403685,37.994366,128,0.4,Tanh,7,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_221732/gs0012_fold4.pt,4
18,1.5217274476343126,1.454822545191821,1.4467601698987624,SimpleMLP,Adam,0.001,L1Loss,100,89.8,3,1.4518128633499146,4.973960113525391,2.2290222522355942,0.3120293140411377,37.61593,256,0.4,Tanh,8,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_221732/gs0018_fold4.pt,4
