grid_search_id,fold,final_train_loss,final_val_loss,best_val_loss,best_epoch,actual_epochs,num_epochs,stopped_early,optimizer,learning_rate,loss_function,model_path,mae,mse,rmse,r2,mape,model_name,hidden_features,dropout,activation
4,2,1.4700295346886365,1.4295353521318996,1.415657236295588,90,100,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0004_fold2.pt,1.4236284494400024,4.6721296310424805,2.161510960194854,0.3572738766670227,35.7606,SimpleMLP,64,0.2,Tanh
4,3,1.4708382540674352,1.4129103527349585,1.4129103527349585,100,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0004_fold3.pt,1.4181878566741943,4.572070121765137,2.138239958883272,0.3720250725746155,37.008698,SimpleMLP,64,0.2,Tanh
4,4,1.5280762670645074,1.4032761875320883,1.396750369492699,77,87,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0004_fold4.pt,1.397454023361206,4.340437412261963,2.083371645257265,0.34263330698013306,37.55649,SimpleMLP,64,0.2,Tanh
4,5,1.4984088940406912,1.4251619647530949,1.4150739557602827,92,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0004_fold5.pt,1.4264723062515259,4.792346477508545,2.189142863658867,0.34676748514175415,36.665924,SimpleMLP,64,0.2,Tanh
5,1,1.5019036798334833,1.4946839914602392,1.485346513635972,94,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0005_fold1.pt,1.4952610731124878,5.472639083862305,2.3393672400592225,0.28320997953414917,37.536545,SimpleMLP,64,0.3,Tanh
5,2,1.5285546904179588,1.4685533099314745,1.4675284834469067,62,72,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0005_fold2.pt,1.477108359336853,5.122765064239502,2.2633526159746964,0.2952817678451538,37.229355,SimpleMLP,64,0.3,Tanh
5,3,1.5198250706516094,1.4359012982424568,1.4331074357032776,96,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0005_fold3.pt,1.4433473348617554,4.800854682922363,2.1910852751370413,0.34060144424438477,40.820347,SimpleMLP,64,0.3,Tanh
5,4,1.5134238538457387,1.4267434442744535,1.4217463065596188,79,89,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0005_fold4.pt,1.4243535995483398,4.409169673919678,2.0998022940076235,0.33222371339797974,37.356712,SimpleMLP,64,0.3,Tanh
5,5,1.5216980954604362,1.4890302104108475,1.4210314996102278,94,100,100,False,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0005_fold5.pt,1.4916130304336548,5.326356410980225,2.3078900344210997,0.27397793531417847,35.631832,SimpleMLP,64,0.3,Tanh
6,1,1.612625074030748,1.5742367050226997,1.5652131087639753,34,44,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0006_fold1.pt,1.565258264541626,6.394979953765869,2.5288297597437968,0.16240447759628296,39.82119,SimpleMLP,64,0.4,Tanh
6,2,1.6268888000232071,1.5566253662109375,1.554033198777367,18,28,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0006_fold2.pt,1.562922716140747,6.190807819366455,2.488133400637204,0.1483553647994995,38.654423,SimpleMLP,64,0.4,Tanh
6,3,1.600037622807631,1.5111769683220808,1.5101728719823502,44,54,100,True,Adam,0.001,L1Loss,/home/xen/personal/hospital-stay-length/experiments/models/mlp_20251216_212136/gs0006_fold3.pt,1.5169084072113037,5.846922397613525,2.4180410247995225,0.19692379236221313,38.55486,SimpleMLP,64,0.4,Tanh
