grid_search_id,final_train_loss,final_val_loss,best_val_loss,model_name,optimizer,learning_rate,loss_function,num_epochs,actual_epochs,stopped_early,mae,mse,rmse,r2,mape,d_model,n_heads,num_layers,rank,model_path,fold
2,1.2639950966657096,1.2646832290817709,1.2487029706730561,SimpleTabTransformer,Adam,0.001,L1Loss,100,49.6,5,1.249756407737732,2.523837757110596,1.5884941701452966,0.650036609172821,36.208843,64,2,2,1,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0002_fold5.pt,5
8,1.3220408453870176,1.3546561430482302,1.2499432612867918,SimpleTabTransformer,Adam,0.001,L1Loss,100,47.0,5,1.250664973258972,2.5277549743652346,1.5895960631961912,0.6496798157691955,36.492935,64,8,2,2,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0008_fold5.pt,5
25,1.2601248066816757,1.2871295094490052,1.2502872200573192,SimpleTabTransformer,Adam,0.001,L1Loss,100,45.6,5,1.251482892036438,2.5421138763427735,1.5942920157292197,0.6475073456764221,36.217354,256,8,1,3,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0025_fold5.pt,5
10,1.2576664267191247,1.2894241893992704,1.2506086815805997,SimpleTabTransformer,Adam,0.001,L1Loss,100,43.8,5,1.2517626762390137,2.5416824340820314,1.5941626011113847,0.6474065542221069,35.99746,128,2,1,4,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0010_fold5.pt,5
22,1.2572235546005306,1.2987341733539806,1.2509156013236327,SimpleTabTransformer,Adam,0.001,L1Loss,100,47.2,5,1.2522441387176513,2.51306095123291,1.5852062036859642,0.6515020966529846,35.689907,256,4,1,5,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0022_fold5.pt,5
1,1.2629469673135387,1.2724628560683306,1.2511204267249387,SimpleTabTransformer,Adam,0.001,L1Loss,100,40.4,5,1.2519681930541993,2.5249032974243164,1.5889302760701713,0.6496894001960755,36.14621,64,2,1,6,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0001_fold2.pt,2
17,1.3775441967729312,1.4553097311188192,1.2526611506938934,SimpleTabTransformer,Adam,0.001,L1Loss,100,48.2,5,1.2543629169464112,2.5733322620391847,1.6040666959691232,0.6429116010665894,36.668083,128,8,2,7,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0017_fold5.pt,5
7,1.2516984421815445,1.2730758656473722,1.2529915406423455,SimpleTabTransformer,Adam,0.001,L1Loss,100,41.0,5,1.2539483785629273,2.5438244342803955,1.5947978993756595,0.6472843766212464,35.89931,64,8,1,8,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0007_fold5.pt,5
19,1.2681032829320253,1.2769886556793661,1.2531345563776353,SimpleTabTransformer,Adam,0.001,L1Loss,100,39.0,5,1.253827953338623,2.5417842864990234,1.594081974028349,0.6476191520690918,36.265984,256,2,1,9,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0019_fold2.pt,2
4,1.2611850358656982,1.2752796446575838,1.253389098363764,SimpleTabTransformer,Adam,0.001,L1Loss,100,40.4,5,1.2543309211730957,2.5215651988983154,1.5878248535431378,0.6501761555671692,36.499607,64,4,1,10,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0004_fold5.pt,5
5,1.2789085022549131,1.298047793262145,1.2535404040532954,SimpleTabTransformer,Adam,0.001,L1Loss,100,45.6,5,1.254574728012085,2.5514609813690186,1.5970709256289197,0.6464514970779419,36.401123,64,4,2,11,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0005_fold2.pt,2
14,1.2633207551578978,1.2787464099771837,1.254106762829949,SimpleTabTransformer,Adam,0.001,L1Loss,100,47.0,5,1.2559972047805785,2.547431230545044,1.596021458245541,0.6466676831245423,36.168823,128,4,2,12,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0014_fold2.pt,2
13,1.2546191300918808,1.2902616353595957,1.2541465482291054,SimpleTabTransformer,Adam,0.001,L1Loss,100,43.2,5,1.2550158500671387,2.547399139404297,1.595934295986601,0.646751606464386,36.51631,128,4,1,13,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0013_fold2.pt,2
16,1.2568697207899235,1.303274691104889,1.2546545323203593,SimpleTabTransformer,Adam,0.001,L1Loss,100,38.0,5,1.2556484460830688,2.5443498611450197,1.5948299164931146,0.647269093990326,36.150562,128,8,1,14,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0016_fold5.pt,5
11,1.309642168301255,1.3585076921126422,1.2578655884546392,SimpleTabTransformer,Adam,0.001,L1Loss,100,54.2,5,1.2582560539245606,2.569222021102905,1.6026508311911645,0.6438453674316407,37.5677,128,2,2,15,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0011_fold5.pt,5
23,1.402095816651387,1.4125881216105294,1.2882867458988638,SimpleTabTransformer,Adam,0.001,L1Loss,100,53.4,5,1.28999502658844,2.9745456695556642,1.7110657578691935,0.5882823824882507,37.540215,256,4,2,16,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0023_fold3.pt,3
6,1.4760835760564948,1.4431117503082052,1.2915642405257506,SimpleTabTransformer,Adam,0.001,L1Loss,100,57.0,5,1.2943077087402344,3.094451570510864,1.7362325952155486,0.5745959997177124,36.604637,64,4,3,17,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0006_fold5.pt,5
26,1.333532360418519,1.319133100790136,1.2973968393662396,SimpleTabTransformer,Adam,0.001,L1Loss,100,51.4,5,1.2992748498916626,3.1165380001068117,1.7414570760326682,0.5605505704879761,36.925457,256,8,2,18,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0026_fold5.pt,5
3,1.4553760408465544,1.410513341777465,1.3327217477209428,SimpleTabTransformer,Adam,0.001,L1Loss,100,48.2,5,1.334471011161804,3.482872486114502,1.8452121777843467,0.5184581279754639,37.31516,64,2,3,19,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0003_fold3.pt,3
20,1.3988569996250209,1.4105503986863528,1.3420134691631094,SimpleTabTransformer,Adam,0.001,L1Loss,100,42.4,5,1.344283366203308,3.7162964820861815,1.8884985686703928,0.4914149522781372,37.503777,256,2,2,20,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0020_fold2.pt,2
9,1.4951152902040907,1.4799707419732038,1.3597462548929102,SimpleTabTransformer,Adam,0.001,L1Loss,100,61.4,5,1.3623252153396606,3.3878158569335937,1.7969765096988528,0.5194727420806885,40.881783,64,8,3,21,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0009_fold5.pt,5
18,1.494925764425477,1.4919422577409183,1.471157163732192,SimpleTabTransformer,Adam,0.001,L1Loss,100,29.8,5,1.4746521711349487,5.24477972984314,2.2674164065390525,0.26894345283508303,38.567505,128,8,3,22,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0018_fold1.pt,1
15,1.5752643777363335,1.5669697859708,1.5210584247813506,SimpleTabTransformer,Adam,0.001,L1Loss,100,46.8,5,1.5231405735015868,4.962965250015259,2.166513324951511,0.3212803602218628,46.07142,128,4,3,23,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0015_fold5.pt,5
12,1.7816792032611903,1.8032051037339603,1.621586746678633,SimpleTabTransformer,Adam,0.001,L1Loss,100,23.0,5,1.625070834159851,6.139459419250488,2.4741230203921973,0.1500762701034546,47.77015,128,2,3,24,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0012_fold4.pt,4
24,1.847461542264739,1.8640798386405497,1.780455931495218,SimpleTabTransformer,Adam,0.001,L1Loss,100,17.6,5,1.7841466903686523,7.060123634338379,2.6553122601983805,0.022374224662780762,54.042595,256,4,3,25,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0024_fold2.pt,2
27,1.8507758873612132,1.8566191799500409,1.8246833555838642,SimpleTabTransformer,Adam,0.001,L1Loss,100,14.0,5,1.8288190841674805,7.269968509674072,2.6953113010744083,-0.006363213062286377,57.88688,256,8,3,26,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0027_fold4.pt,4
21,1.847340539142267,1.8704325058880975,1.8305795192718506,SimpleTabTransformer,Adam,0.001,L1Loss,100,18.6,5,1.8352080583572388,7.318094062805176,2.7044016539030515,-0.012959349155426025,57.863842,256,2,3,27,/home/xen/personal/hospital-stay-length/experiments/models/tabtransformer_20251216_213147/gs0021_fold4.pt,4
